timestamp,广东,广西,云南,贵州,海南
2025-08-10 00:00:00,1.0,1.02,1.1,1.2,1.2
2025-08-10 01:00:00,1.0,1.02,1.1,1.2,1.2
2025-08-10 02:00:00,1.0,1.02,1.1,1.2,1.2
2025-08-10 03:00:00,1.0,1.02,1.1,1.2,1.2
2025-08-10 04:00:00,1.0,1.02,1.0,1.2,1.2
2025-08-10 05:00:00,1.0,1.02,1.0,1.2,1.2
2025-08-10 06:00:00,1.0,0.98,1.0,1.2,1.2
2025-08-10 07:00:00,1.0,1.02,1.0,1.2,1.2
2025-08-10 08:00:00,0.8,1.02,1.0,1.2,1.2
2025-08-10 09:00:00,0.8,1.02,1.0,1.2,1.2
2025-08-10 10:00:00,0.8,1.02,0.9,1.2,1.2
2025-08-10 11:00:00,0.8,1.02,0.9,1.2,1.2
2025-08-10 12:00:00,1.0,0.98,0.9,0.8,1.2
2025-08-10 13:00:00,1.0,0.98,0.9,1.0,1.2
2025-08-10 14:00:00,0.8,1.02,0.9,1.2,1.2
2025-08-10 15:00:00,0.8,1.02,0.9,1.2,1.2
2025-08-10 16:00:00,0.8,1.02,0.9,1.2,1.2
2025-08-10 17:00:00,0.8,1.02,1.0,1.2,1.0
2025-08-10 18:00:00,0.8,1.02,1.0,1.2,0.8
2025-08-10 19:00:00,0.8,1.02,1.1,1.2,1.2
2025-08-10 20:00:00,1.0,1.02,1.1,1.2,1.2
2025-08-10 21:00:00,1.0,1.02,1.1,1.2,1.2
2025-08-10 22:00:00,1.0,1.02,1.0,1.2,1.2
2025-08-10 23:00:00,1.0,1.02,1.1,1.2,1.2
