timestamp,广东,广西,云南,贵州,海南
2025-08-05 00:00:00,0.8,0.8,0.9,1.2,0.8
2025-08-05 01:00:00,0.8,0.8,0.9,1.2,0.8
2025-08-05 02:00:00,0.8,0.8,0.9,1.2,0.8
2025-08-05 03:00:00,0.8,0.8,0.9,1.2,0.8
2025-08-05 04:00:00,0.8,0.8,0.9,1.2,0.8
2025-08-05 05:00:00,0.8,0.8,0.9,1.2,0.8
2025-08-05 06:00:00,0.8,0.8,0.9,1.2,0.8
2025-08-05 07:00:00,0.8,0.8,0.9,1.2,0.8
2025-08-05 08:00:00,0.8,0.8,0.9,0.8,1.2
2025-08-05 09:00:00,0.8,0.8,0.9,0.8,1.2
2025-08-05 10:00:00,0.8,0.8,1.1,0.8,1.2
2025-08-05 11:00:00,0.8,0.8,0.9,0.8,1.2
2025-08-05 12:00:00,0.8,0.8,0.9,0.8,1.2
2025-08-05 13:00:00,0.8,0.8,0.9,0.8,1.2
2025-08-05 14:00:00,0.8,0.8,0.9,0.8,1.2
2025-08-05 15:00:00,0.8,0.8,0.9,0.8,1.2
2025-08-05 16:00:00,0.8,0.8,0.9,0.8,1.2
2025-08-05 17:00:00,0.8,0.8,0.9,0.8,1.2
2025-08-05 18:00:00,0.8,0.8,0.9,0.8,1.2
2025-08-05 19:00:00,0.8,0.8,0.9,0.8,1.2
2025-08-05 20:00:00,0.8,0.8,0.9,1.2,1.2
2025-08-05 21:00:00,0.8,0.8,0.9,0.8,1.2
2025-08-05 22:00:00,0.8,0.8,0.9,0.8,1.2
2025-08-05 23:00:00,0.8,0.8,0.9,1.2,0.8
