timestamp,广东,广西,云南,贵州,海南
2025-08-12 00:00:00,1.0,1.02,1.0,1.0,0.8
2025-08-12 01:00:00,1.0,0.8,1.0,1.0,0.8
2025-08-12 02:00:00,1.0,0.98,1.0,1.0,0.8
2025-08-12 03:00:00,1.0,1.2,1.0,1.0,0.8
2025-08-12 04:00:00,1.0,1.2,1.0,0.8,0.8
2025-08-12 05:00:00,1.0,1.2,1.0,0.8,0.8
2025-08-12 06:00:00,1.0,1.2,1.0,0.8,0.8
2025-08-12 07:00:00,0.8,0.8,1.0,0.8,0.8
2025-08-12 08:00:00,0.8,1.2,1.0,0.8,0.8
2025-08-12 09:00:00,0.8,0.98,0.9,0.8,0.8
2025-08-12 10:00:00,0.8,0.8,0.9,0.8,0.8
2025-08-12 11:00:00,0.8,0.8,0.9,0.8,0.8
2025-08-12 12:00:00,0.8,0.8,0.9,0.8,0.8
2025-08-12 13:00:00,0.8,0.8,0.9,0.8,0.8
2025-08-12 14:00:00,0.8,0.8,0.9,0.8,1.2
2025-08-12 15:00:00,0.8,0.98,0.9,0.8,1.0
2025-08-12 16:00:00,0.8,1.2,0.9,0.8,0.8
2025-08-12 17:00:00,0.8,1.2,0.9,0.8,0.8
2025-08-12 18:00:00,0.8,1.2,0.9,0.8,0.8
2025-08-12 19:00:00,0.8,1.2,1.0,1.0,0.8
2025-08-12 20:00:00,0.8,0.8,1.0,1.0,0.8
2025-08-12 21:00:00,0.8,0.98,1.0,1.0,0.8
2025-08-12 22:00:00,0.8,0.98,1.0,1.0,0.8
2025-08-12 23:00:00,0.8,1.2,1.0,1.0,0.8
