timestamp,广东,广西,云南,贵州,海南
2025-08-07 00:00:00,1.0,1.2,1.0,0.8,0.8
2025-08-07 01:00:00,1.0,1.2,1.0,0.8,0.8
2025-08-07 02:00:00,1.0,1.2,1.0,0.8,0.8
2025-08-07 03:00:00,1.0,1.2,1.0,0.8,0.8
2025-08-07 04:00:00,1.0,1.2,1.0,0.8,0.8
2025-08-07 05:00:00,1.0,1.2,1.0,0.8,0.8
2025-08-07 06:00:00,1.0,1.2,1.1,0.8,0.8
2025-08-07 07:00:00,1.0,1.2,1.0,0.8,0.8
2025-08-07 08:00:00,1.0,1.2,1.1,0.8,0.8
2025-08-07 09:00:00,1.0,1.2,1.1,0.8,0.8
2025-08-07 10:00:00,1.0,1.2,1.0,0.8,0.8
2025-08-07 11:00:00,1.0,1.2,1.0,0.8,1.0
2025-08-07 12:00:00,1.0,0.8,1.0,0.8,1.0
2025-08-07 13:00:00,1.0,0.8,1.0,0.8,1.0
2025-08-07 14:00:00,1.0,1.2,1.0,0.8,1.2
2025-08-07 15:00:00,1.0,1.2,1.0,0.8,1.2
2025-08-07 16:00:00,1.0,1.2,0.9,0.8,1.2
2025-08-07 17:00:00,1.0,1.2,1.0,0.8,1.2
2025-08-07 18:00:00,1.0,1.2,1.0,0.8,1.0
2025-08-07 19:00:00,1.0,1.2,1.1,0.8,1.0
2025-08-07 20:00:00,1.0,1.2,1.1,0.8,1.0
2025-08-07 21:00:00,1.0,1.2,1.0,1.0,1.0
2025-08-07 22:00:00,1.0,1.2,1.0,1.0,0.8
2025-08-07 23:00:00,1.0,1.2,1.0,1.0,0.8
